longitude,latitude,comuna
-70.5971006,-33.3711588,Huechuraba
-70.5969039,-33.3701264,Huechuraba
-70.5970412,-33.3682125,Huechuraba
-70.5968782,-33.3665065,Huechuraba
-70.5970155,-33.3656678,Huechuraba
-70.5978738,-33.3646284,Huechuraba
-70.5989896,-33.3636104,Huechuraba
-70.5995389,-33.3631373,Huechuraba
-70.6000796,-33.3625853,Huechuraba
-70.6001054,-33.3623703,Huechuraba
-70.5997621,-33.36189,Huechuraba
-70.5991835,-33.3616132,Huechuraba
-70.5988179,-33.3614383,Huechuraba
-70.5976249,-33.3607931,Huechuraba
-70.5967923,-33.3600763,Huechuraba
-70.5963632,-33.3593952,Huechuraba
-70.5961057,-33.3587142,Huechuraba
-70.5952045,-33.3578037,Huechuraba
-70.5940286,-33.3572804,Huechuraba
-70.5931274,-33.3565276,Huechuraba
-70.5923549,-33.3554522,Huechuraba
-70.5917112,-33.3549504,Huechuraba
-70.5903808,-33.3543051,Huechuraba
-70.58875,-33.3540901,Huechuraba
-70.5875054,-33.3540901,Huechuraba
-70.5866471,-33.3538391,Huechuraba
-70.5851022,-33.3527279,Huechuraba
-70.5827418,-33.3511864,Huechuraba
-70.5826912,-33.3511454,Huechuraba
-70.5826586,-33.351119,Huechuraba
-70.582367,-33.350883,Huechuraba
-70.5821962,-33.3507498,Huechuraba
-70.5832062,-33.349998,Huechuraba
-70.5835939,-33.3494874,Huechuraba
-70.5841074,-33.3490645,Huechuraba
-70.5850258,-33.3491003,Huechuraba
-70.5859957,-33.3484909,Huechuraba
-70.5865527,-33.3476674,Huechuraba
-70.5883895,-33.3461586,Huechuraba
-70.5886612,-33.3452923,Huechuraba
-70.588732,-33.3447371,Huechuraba
-70.5890007,-33.3438951,Huechuraba
-70.5893859,-33.3433428,Huechuraba
-70.5896779,-33.3423031,Huechuraba
-70.5897172,-33.3420179,Huechuraba
-70.5898494,-33.3410627,Huechuraba
-70.5902548,-33.3397611,Huechuraba
-70.5902634,-33.3397336,Huechuraba
-70.5904658,-33.3394678,Huechuraba
-70.5908642,-33.3389449,Huechuraba
-70.5916463,-33.3385457,Huechuraba
-70.5916605,-33.3385386,Huechuraba
-70.5930654,-33.3385245,Huechuraba
-70.5930938,-33.3385243,Huechuraba
-70.5943813,-33.3385028,Huechuraba
-70.5953254,-33.3380941,Huechuraba
-70.5956945,-33.337463,Huechuraba
-70.5957137,-33.3366861,Huechuraba
-70.5973444,-33.3377976,Huechuraba
-70.5997477,-33.3383712,Huechuraba
-70.6022057,-33.3386092,Huechuraba
-70.6027089,-33.3386581,Huechuraba
-70.603319,-33.3388637,Huechuraba
-70.605155,-33.3394827,Huechuraba
-70.6084595,-33.339411,Huechuraba
-70.6110344,-33.3400922,Huechuraba
-70.6120778,-33.340409,Huechuraba
-70.6122421,-33.3404589,Huechuraba
-70.6124215,-33.3405134,Huechuraba
-70.612908,-33.3406612,Huechuraba
-70.6133948,-33.3408092,Huechuraba
-70.6160985,-33.341598,Huechuraba
-70.6186734,-33.3422074,Huechuraba
-70.6203471,-33.3420282,Huechuraba
-70.6227074,-33.3411677,Huechuraba
-70.6248961,-33.3407017,Huechuraba
-70.6281577,-33.34063,Huechuraba
-70.6309472,-33.340379,Huechuraba
-70.6325779,-33.3401639,Huechuraba
-70.6347237,-33.3408092,Huechuraba
-70.6364832,-33.3418489,Huechuraba
-70.6382857,-33.342315,Huechuraba
-70.640131,-33.3425301,Huechuraba
-70.6435214,-33.3417772,Huechuraba
-70.6454096,-33.3410243,Huechuraba
-70.6466971,-33.3399846,Huechuraba
-70.6487141,-33.3373673,Huechuraba
-70.6504736,-33.3348934,Huechuraba
-70.6524048,-33.3334951,Huechuraba
-70.6550656,-33.3319533,Huechuraba
-70.656396,-33.3305549,Huechuraba
-70.6571255,-33.3291923,Huechuraba
-70.657898,-33.3284035,Huechuraba
-70.6593142,-33.3281525,Huechuraba
-70.6611166,-33.3286545,Huechuraba
-70.6623612,-33.3290489,Huechuraba
-70.6638203,-33.3289772,Huechuraba
-70.6653653,-33.3285111,Huechuraba
-70.6671677,-33.3278656,Huechuraba
-70.6681977,-33.3281166,Huechuraba
-70.6702147,-33.3289772,Huechuraba
-70.6720601,-33.3293716,Huechuraba
-70.6737767,-33.3294792,Huechuraba
-70.6757079,-33.3292999,Huechuraba
-70.6772957,-33.3293716,Huechuraba
-70.679184,-33.3301605,Huechuraba
-70.6800404,-33.330708,Huechuraba
-70.681242,-33.3309446,Huechuraba
-70.6810445,-33.3319629,Huechuraba
-70.680787,-33.333182,Huechuraba
-70.6807719,-33.3353954,Huechuraba
-70.6799994,-33.3373315,Huechuraba
-70.6801281,-33.3379769,Huechuraba
-70.6815853,-33.339184,Huechuraba
-70.6830893,-33.3398771,Huechuraba
-70.6844626,-33.3400563,Huechuraba
-70.6858788,-33.3408451,Huechuraba
-70.6870375,-33.3422791,Huechuraba
-70.6875096,-33.3434264,Huechuraba
-70.6875954,-33.3450755,Huechuraba
-70.6880675,-33.3465095,Huechuraba
-70.688797,-33.3478718,Huechuraba
-70.6902562,-33.349485,Huechuraba
-70.6915436,-33.3508114,Huechuraba
-70.6923161,-33.3517076,Huechuraba
-70.6929942,-33.3521019,Huechuraba
-70.613473,-33.4088379,Vitacura
-70.6120702,-33.407822,Vitacura
-70.6108943,-33.4067616,Vitacura
-70.610036,-33.4056582,Vitacura
-70.6098643,-33.4044401,Vitacura
-70.6101396,-33.4033205,Vitacura
-70.6098214,-33.4025413,Vitacura
-70.6092641,-33.4012784,Vitacura
-70.608511,-33.399517,Vitacura
-70.6083795,-33.3992094,Vitacura
-70.608019,-33.3980414,Vitacura
-70.6075898,-33.3964864,Vitacura
-70.6073718,-33.3961754,Vitacura
-70.607084,-33.395338,Vitacura
-70.6064311,-33.3946376,Vitacura
-70.6053668,-33.3935268,Vitacura
-70.6046973,-33.3927386,Vitacura
-70.6037961,-33.3919001,Vitacura
-70.6028262,-33.390947,Vitacura
-70.6021653,-33.3902304,Vitacura
-70.6017533,-33.3896929,Vitacura
-70.6015645,-33.3876719,Vitacura
-70.6015031,-33.3877176,Vitacura
-70.6016589,-33.3869051,Vitacura
-70.6018324,-33.3862779,Vitacura
-70.6021384,-33.3857056,Vitacura
-70.6022841,-33.3854066,Vitacura
-70.6023383,-33.3852957,Vitacura
-70.6023564,-33.3852587,Vitacura
-70.6023723,-33.3852259,Vitacura
-70.602396,-33.3851774,Vitacura
-70.6024324,-33.3851027,Vitacura
-70.6024829,-33.3849988,Vitacura
-70.6026331,-33.3846855,Vitacura
-70.6026647,-33.3846195,Vitacura
-70.6030837,-33.3837446,Vitacura
-70.6033584,-33.3829419,Vitacura
-70.603427,-33.3824402,Vitacura
-70.6034013,-33.3820962,Vitacura
-70.6032554,-33.3815586,Vitacura
-70.6030241,-33.3812998,Vitacura
-70.6028262,-33.3810784,Vitacura
-70.6019413,-33.3805618,Vitacura
-70.6017705,-33.3804621,Vitacura
-70.6009379,-33.3798385,Vitacura
-70.6005063,-33.3795031,Vitacura
-70.60032,-33.3793583,Vitacura
-70.5999951,-33.3790354,Vitacura
-70.5997792,-33.3788208,Vitacura
-70.5996076,-33.3782617,Vitacura
-70.5995818,-33.3776382,Vitacura
-70.5995822,-33.3776063,Vitacura
-70.5995825,-33.3775683,Vitacura
-70.5995828,-33.3775369,Vitacura
-70.5995831,-33.3774966,Vitacura
-70.5995904,-33.3766132,Vitacura
-70.5995554,-33.3763848,Vitacura
-70.5994617,-33.3757746,Vitacura
-70.599187,-33.3745561,Vitacura
-70.5989908,-33.3741084,Vitacura
-70.5987064,-33.3734595,Vitacura
-70.598389,-33.3730089,Vitacura
-70.597848,-33.3722409,Vitacura
-70.5977774,-33.3721554,Vitacura
-70.5972225,-33.3714828,Vitacura
-70.5971442,-33.371388,Vitacura
-70.5971006,-33.3711588,Vitacura
-70.5969039,-33.3701264,Vitacura
-70.5970412,-33.3682125,Vitacura
-70.5968782,-33.3665065,Vitacura
-70.5970155,-33.3656678,Vitacura
-70.5978738,-33.3646284,Vitacura
-70.5989896,-33.3636104,Vitacura
-70.5995389,-33.3631373,Vitacura
-70.6000796,-33.3625853,Vitacura
-70.6001054,-33.3623703,Vitacura
-70.5997621,-33.36189,Vitacura
-70.5991835,-33.3616132,Vitacura
-70.5988179,-33.3614383,Vitacura
-70.5976249,-33.3607931,Vitacura
-70.5967923,-33.3600763,Vitacura
-70.5963632,-33.3593952,Vitacura
-70.5961057,-33.3587142,Vitacura
-70.5952045,-33.3578037,Vitacura
-70.5940286,-33.3572804,Vitacura
-70.5931274,-33.3565276,Vitacura
-70.5923549,-33.3554522,Vitacura
-70.5917112,-33.3549504,Vitacura
-70.5903808,-33.3543051,Vitacura
-70.58875,-33.3540901,Vitacura
-70.5875054,-33.3540901,Vitacura
-70.5866471,-33.3538391,Vitacura
-70.5851022,-33.3527279,Vitacura
-70.5827418,-33.3511864,Vitacura
-70.5826912,-33.3511454,Vitacura
-70.5826586,-33.351119,Vitacura
-70.582367,-33.350883,Vitacura
-70.5821962,-33.3507498,Vitacura
-70.5811634,-33.3508496,Vitacura
-70.580494,-33.3511365,Vitacura
-70.5802022,-33.351495,Vitacura
-70.5797215,-33.3517674,Vitacura
-70.5791722,-33.3517531,Vitacura
-70.5782881,-33.3516599,Vitacura
-70.5774727,-33.3517101,Vitacura
-70.5767173,-33.3519466,Vitacura
-70.5743304,-33.3534448,Vitacura
-70.5731288,-33.3551655,Vitacura
-70.5723992,-33.3555598,Vitacura
-70.5712328,-33.3559399,Vitacura
-70.570632,-33.3563558,Vitacura
-70.570057,-33.35632,Vitacura
-70.5688037,-33.3558682,Vitacura
-70.5676092,-33.355211,Vitacura
-70.567173,-33.3552302,Vitacura
-70.5668125,-33.3554094,Vitacura
-70.5658855,-33.3556962,Vitacura
-70.5652246,-33.356284,Vitacura
-70.5644264,-33.3570511,Vitacura
-70.5640657,-33.3571428,Vitacura
-70.5624523,-33.357553,Vitacura
-70.5601177,-33.3582412,Vitacura
-70.5581436,-33.3585638,Vitacura
-70.5564441,-33.3590083,Vitacura
-70.5545337,-33.3592427,Vitacura
-70.553739,-33.3593695,Vitacura
-70.5530976,-33.3597774,Vitacura
-70.552113,-33.360464,Vitacura
-70.5509978,-33.360022,Vitacura
-70.5508244,-33.3597078,Vitacura
-70.5485944,-33.3607128,Vitacura
-70.548702,-33.3608933,Vitacura
-70.5487519,-33.361043,Vitacura
-70.5487709,-33.3612336,Vitacura
-70.5488133,-33.3614729,Vitacura
-70.5488458,-33.3616653,Vitacura
-70.5488235,-33.3619765,Vitacura
-70.5487707,-33.362173,Vitacura
-70.5485142,-33.3625735,Vitacura
-70.5484662,-33.3627825,Vitacura
-70.5484509,-33.3630408,Vitacura
-70.5484654,-33.3632261,Vitacura
-70.5485703,-33.3634287,Vitacura
-70.5485856,-33.3636271,Vitacura
-70.5484952,-33.3638029,Vitacura
-70.5483313,-33.3639467,Vitacura
-70.5481248,-33.3640581,Vitacura
-70.5479142,-33.3641828,Vitacura
-70.5477294,-33.3643621,Vitacura
-70.5475443,-33.3646244,Vitacura
-70.5473,-33.3649752,Vitacura
-70.5470079,-33.3654032,Vitacura
-70.5466584,-33.3657548,Vitacura
-70.5464374,-33.3660773,Vitacura
-70.5462899,-33.3663999,Vitacura
-70.5459971,-33.3667927,Vitacura
-70.5439986,-33.3682511,Vitacura
-70.5436695,-33.368012,Vitacura
-70.5428018,-33.3689721,Vitacura
-70.5424617,-33.3691068,Vitacura
-70.5414401,-33.369854,Vitacura
-70.5399209,-33.3700332,Vitacura
-70.5382987,-33.3702698,Vitacura
-70.535844,-33.3700189,Vitacura
-70.5350629,-33.3700834,Vitacura
-70.5330888,-33.3701909,Vitacura
-70.5315438,-33.3707285,Vitacura
-70.5303422,-33.3707213,Vitacura
-70.5294839,-33.3702554,Vitacura
-70.5282823,-33.3700332,Vitacura
-70.5276815,-33.3700045,Vitacura
-70.5260936,-33.3699902,Vitacura
-70.5254327,-33.3691587,Vitacura
-70.5241195,-33.3691444,Vitacura
-70.521845,-33.3691802,Vitacura
-70.5208579,-33.3691587,Vitacura
-70.5202914,-33.3692089,Vitacura
-70.5199052,-33.3694669,Vitacura
-70.5187763,-33.3707647,Vitacura
-70.5183505,-33.3714926,Vitacura
